Soil Moisture,Temperature,Soil Humidity,Time,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h),Pressure (KPa),ph,rainfall,N,P,K,Watering Required,Risk of Disease,Soil Acidity,Acidity status,Soil Fertility,Optimal Growth Conditions,Evapotranspiration Rate,Irrigation Scheduling
70,7,39,28,18.28,8.88,19.93,38.1,101.11,6.705008504,59.87065439,35,41,18,15.54686912,87.114,0.732846333,neutral,86.09350595,59.168,1.073,10.03880368
35,25,66,21,18.04,8.34,20.98,40.11,101.12,6.790736339,48.48319335,6,48,24,61.50936133,50.642,0.457754326,neutral,68.25351544,60.616,9.542,51.955042
25,33,45,6,17.8,7.8,22.04,42.11,101.12,7.130278657,48.56690235,29,36,25,75.17461953,49.48,0.242915237,neutral,81.30880494,52.572,13.008,69.4299293
26,14,61,10,17.65,7.35,22.72,38.2,101.12,7.012740397,43.80041104,4,36,22,65.42391779,45.775,0.175136688,neutral,53.99108172,46.706,3.124,67.85987669
53,36,24,33,17.5,6.9,23.41,34.29,101.11,7.155685016,36.94616965,10,59,22,50.58776607,79.08,0.173222992,neutral,80.59102049,64.848,13.737,31.41614911
86,3,51,54,17.38,6.46,23.49,36.5,101.11,6.991242362,53.43228915,14,48,21,-2.23345783,109.968,0.355331228,neutral,73.99386965,66.5,-2.963,-17.02968675
2,5,65,94,17.27,6.02,23.57,38.71,101.11,6.218923893,50.49913241,8,50,21,83.32917352,33.156,1.075770318,acidic,69.25324673,26.652,-2.163,47.85026028
28,21,48,57,17.28,5.9,22.52,34.17,101.11,7.199495368,45.04467075,20,40,15,66.73506585,44.39,0.198160785,neutral,67.86035324,54.836,6.104,41.98659878
15,37,53,81,17.29,5.79,21.48,29.63,101.11,6.389882166,58.37249772,36,43,22,85.38150046,44.527,1.035485494,acidic,91.87291752,43.526,14.372,38.98825068
36,17,62,81,17.37,6.48,20.2,39.82,101.11,6.623438282,40.12044158,14,57,15,58.41591168,50.464,0.773967558,neutral,77.0364068,52.864,5.032,23.46386753
35,34,34,46,17.45,7.16,18.92,50,101.11,7.033012777,51.09802625,11,60,23,66.10439475,56.608,0.302661785,neutral,83.37689106,54.204,14.188,38.67059213
54,22,59,12,17.56,7.51,18.41,51.66,101.11,6.32400451,58.86687093,10,59,15,39.70362581,63.353,1.043202724,acidic,74.62680316,65.226,8.481,34.33993872
72,25,50,98,17.68,7.86,17.9,53.33,101.11,6.397636709,56.04995423,7,60,25,23.92000915,81.198,0.88450118,acidic,80.5783457,76.748,10.274,-25.81498627
86,44,48,51,17.7,8.14,17.65,51.66,101.11,6.401455706,58.41394143,2,47,15,19.02221171,108.552,0.782068752,acidic,55.88101899,68.492,19.961,-17.02418243
34,14,37,40,17.71,8.42,17.4,50,101.11,6.904587016,54.96121262,20,45,22,56.78775748,46.906,0.466548215,neutral,78.03321091,46.236,5.148,41.51163621
36,29,54,105,17.55,8.48,17.57,48.08,101.11,6.478557136,49.61865305,2,39,15,63.30526939,51.234,0.686308727,acidic,48.73499,58.36,12.621,8.614404085
55,23,70,28,17.38,8.53,17.74,46.15,101.11,7.063022095,52.84626009,27,40,24,40.60874798,63.669,0.317644154,neutral,82.15588453,65.986,9.59,27.14612197
42,7,34,58,17.29,8.62,17.83,46.77,101.12,6.981758362,55.03723979,35,48,15,45.14355204,59.996,0.490091525,neutral,90.18723085,43.54,1.599,24.48882806
28,40,44,10,17.21,8.72,17.92,47.38,101.12,6.227134139,54.62243308,4,59,25,75.69951338,53.016,0.997361459,acidic,76.5589939,43.592,18.112,62.61327008
44,37,46,65,17.12,8.81,18.01,48,101.13,6.232836962,59.03629954,1,48,24,57.28974009,65.043,0.836477756,acidic,62.86298587,54.646,16.621,17.78911014
5,28,30,49,16.96,8.04,18.41,44.69,101.14,7.140437859,52.93031105,36,43,21,92.89093779,23.682,0.289581803,neutral,91.4016935,44.62,11.693,66.62090669
42,9,56,61,16.81,7.27,18.81,41.38,101.14,6.459252023,56.52558045,11,46,24,45.55188391,60.321,0.845596261,acidic,71.22147642,46.594,1.765,22.54232587
81,15,22,26,16.89,7.72,18.82,41.56,101.14,6.568795404,53.15223123,34,47,19,10.22355375,90.316,0.874411511,neutral,91.19815678,72.012,4.942,2.054330631
4,33,53,97,16.96,8.18,18.84,41.74,101.15,7.12851089,50.46746116,21,44,18,96.75450777,27.114,0.265323141,neutral,74.91004238,39.436,14.12,44.35976165
63,28,21,50,17.04,8.63,18.86,41.93,101.16,6.42937879,39.23831035,17,58,20,37.49433793,75.919,0.960413618,acidic,84.80056515,73.862,11.794,12.2285069
3,26,20,35,17.12,9.08,18.87,42.11,101.16,6.248900919,44.17580911,25,40,21,95.50383818,20.014,1.137422365,acidic,77.27423064,43.78,10.971,78.24725727
88,41,64,95,17.03,8.34,19.08,42.88,101.17,6.619891498,45.48591922,2,38,18,17.67881616,109.242,0.52414466,neutral,50.33392405,73.596,18.112,-37.14577577
10,40,53,72,16.94,7.59,19.28,43.64,101.18,6.377568542,56.09542002,9,48,20,92.996916,38.967,0.929700789,acidic,67.76429798,35.906,17.252,49.17137399
35,24,35,90,16.76,7.64,19.88,41.18,101.18,6.415459592,41.39081525,37,49,25,62.75783695,49.232,1.012926647,acidic,100.6908217,58.876,9.092,19.58275543
19,23,36,55,16.59,7.68,20.48,38.71,101.19,6.320662012,57.99524359,36,38,15,74.75695128,34.604,1.130643478,acidic,81.72446341,50.348,8.428,48.10142692
70,9,39,54,16.55,8,20.8,40.04,101.2,6.978400282,43.15411472,40,58,15,19.62917706,87,0.525726944,neutral,104.1848802,62.04,1.46,2.053765584
34,37,38,83,16.51,8.32,21.12,41.38,101.2,6.442335593,50.91511275,30,44,16,67.98097745,59.496,0.998944236,acidic,82.00963492,52.232,15.492,21.22546618
61,41,64,1,16.33,7.72,21.62,40.04,101.2,7.184398832,43.78420984,1,59,23,44.25715803,87.916,-0.090194509,neutral,72.37092082,62.252,17.102,37.36473705
40,38,58,37,16.14,7.11,22.11,38.71,101.21,6.402926221,49.50812624,9,48,22,62.46537475,67.533,0.894812092,acidic,69.38204835,55.266,15.211,38.64756213
70,32,64,107,16,7.81,22.56,35.8,101.22,7.085982325,36.45012824,14,41,17,31.94197435,89.693,0.26595928,neutral,64.43981237,76.486,12.356,-22.43503847
26,37,65,65,15.85,8.51,23.01,32.88,101.23,6.698574085,37.45680611,35,52,19,78.10563878,54.053,0.757641195,neutral,96.78900186,49.706,15.001,42.26295817
31,24,48,85,15.77,7.04,23.2,35.19,101.24,6.594739424,53.79732545,31,48,17,63.28053491,49.372,0.852458063,neutral,87.5163176,59.652,7.856,22.36080237
74,2,43,22,15.69,5.58,23.38,37.5,101.26,6.647965508,37.44800463,4,41,20,12.49639907,100.474,0.562447907,neutral,56.65357586,59.588,-3.782,15.76559861
30,25,53,66,15.89,6.3,22.62,37.5,101.26,7.120032489,54.7960127,30,37,25,64.75479746,49.21,0.259291458,neutral,83.21597726,59.836,8.234,32.56119619
47,2,33,64,16.09,7.02,21.85,37.5,101.27,6.91380932,40.53173216,9,35,20,39.33865357,73.636,0.361874717,neutral,56.43966652,44.576,-2.747,20.84048035
14,8,51,33,16.4,7.78,21.06,43.24,101.26,7.073048264,50.9246554,20,41,20,73.49706892,37.814,0.298308943,neutral,72.84886622,33.292,0.794,66.22260338
88,41,45,37,16.72,8.54,20.26,48.98,101.26,6.5304707,56.01913159,37,50,23,15.21817368,110.282,0.90827397,neutral,100.0713295,74.5,17.838,-11.30573948
52,7,66,84,16.99,7.71,20.1,39.88,101.26,6.684381357,58.18713162,34,35,21,33.83257368,71.903,0.719337258,neutral,82.07906695,50.538,0.554,0.543860514
66,2,58,76,17.26,6.88,19.94,30.77,101.26,6.581351374,48.9366954,14,37,15,19.23066092,88.924,0.77284113,neutral,59.00694596,52.576,-2.23,-6.68100862
44,23,60,35,17.7,7,19.34,31.6,101.27,6.86483915,42.02483277,23,39,22,53.29303345,56.44,0.505962191,neutral,75.60538741,62.072,8.498,37.89255017
74,1,49,10,18.15,7.11,18.75,32.43,101.28,6.487124217,43.05130077,5,45,21,12.26473985,95.573,0.750033579,acidic,61.94098695,54.578,-2.281,20.08460977
89,29,40,106,18.73,6.4,17.99,31.8,101.28,6.605733068,39.26137642,22,37,20,12.25072472,100.81,0.764889741,neutral,71.02401315,85.612,11.663,-41.77841293
32,29,54,95,19.31,5.68,17.24,31.17,101.29,6.860602782,50.01534317,40,51,17,67.32493137,49.264,0.618146392,neutral,99.40242195,56.656,11.6,17.49539705
33,8,59,80,19.94,5.95,16.27,26.7,101.3,6.41874299,51.53848218,27,56,20,55.81130356,51.405,1.013802638,acidic,92.99312009,39.326,1.499,23.53845535
55,28,44,44,20.57,6.22,15.31,22.22,101.31,6.365513634,53.35486977,31,40,22,43.73602605,66.856,1.037668787,acidic,84.15585954,67.504,11.895,18.99353907
5,35,30,8,21.18,6.58,14.57,27.19,101.32,6.556372966,36.12042927,38,36,21,100.9049141,26.464,0.8612853,neutral,86.88946108,34.84,15.761,92.16387122
84,5,33,87,21.8,6.94,13.83,32.16,101.33,6.760694228,38.14476781,6,37,17,6.722046438,96.572,0.496252176,neutral,52.73248596,59.676,1.127,-26.94343034
30,27,34,103,22.41,7.3,13.09,37.14,101.34,6.715276663,40.16545979,6,47,18,71.53990804,40.58,0.559876868,neutral,62.50069366,54.012,12.493,18.45036206
81,12,48,16,23.02,7.66,12.35,42.11,101.35,6.666380512,50.66487502,24,44,17,11.162025,86.288,0.7465225,neutral,76.96646636,63.848,5.359,7.800537494
66,37,50,9,23.67,9.46,11.86,43.28,101.36,6.626629798,43.95183726,25,59,19,40.15163255,78.238,0.808567631,neutral,93.03864086,60.596,18.726,28.31444882
56,40,33,58,24.32,11.25,11.37,44.44,101.37,6.702772465,58.29933073,32,56,21,48.92913385,69.895,0.741884051,neutral,98.99194073,51.846,21.089,9.510200781
89,44,68,56,24.96,11.07,10.36,46.71,101.37,7.011030515,43.25095608,8,45,18,21.24180878,101.911,0.288542712,neutral,62.89227864,63.574,23.32,-17.97528682
43,14,41,54,25.6,10.88,9.34,48.98,101.37,6.890156495,44.47427436,19,39,17,52.30314513,45.224,0.487322233,neutral,67.62310955,43.796,8.55,28.65771769
52,45,26,20,26.06,10.28,8.85,48.98,101.38,6.821747052,59.84499208,39,37,15,55.87600158,68.454,0.634895884,neutral,84.17522294,43.024,23.957,32.04650238
40,24,32,23,26.52,9.69,8.36,48.98,101.39,7.183189922,43.4826194,33,37,19,60.79547612,40.777,0.233108727,neutral,81.37176705,51.75,13.368,47.45521418
35,43,67,21,27.06,8.54,8.13,42.14,101.4,6.27258822,49.4897245,26,54,17,74.1630551,52.052,1.168798504,acidic,87.69081175,36.296,22.477,51.65308265
65,14,28,65,27.59,7.4,7.9,35.29,101.4,6.679127482,48.30159325,21,51,15,29.96968135,66.02,0.747702305,neutral,78.67538924,54.34,7.59,0.009522025
30,37,30,98,28.14,8.4,6.9,36.39,101.41,6.689825155,41.013132,22,54,20,78.2273736,41.62,0.718604268,neutral,86.38287761,38.84,19.79,20.6960604
63,41,43,0,28.69,9.4,5.91,37.5,101.42,6.583381939,43.12063289,29,45,16,47.10287342,72.83,0.856755021,neutral,82.00836736,50.348,22.487,36.06381013
58,25,68,18,29.15,9.31,5.4,41.82,101.43,6.725551062,44.30070517,4,40,21,44.01985897,55.083,0.477514076,neutral,56.60788574,59.458,14.604,31.70978845
45,41,49,30,29.61,9.22,4.88,46.15,101.43,7.069747814,58.52974279,10,37,22,62.33005144,55.726,0.212498241,neutral,60.85117653,40.56,22.724,34.44107716
19,28,55,30,29.88,11.43,4.65,55.5,101.43,6.921993878,43.25726752,4,44,19,84.9535465,20.149,0.300610624,neutral,58.74539571,39.934,17.177,65.02281974
2,13,43,102,30.14,13.64,4.42,64.86,101.43,6.770955317,37.2464655,20,45,17,95.7247069,2.272,0.625962825,neutral,73.93966872,17.808,10.63,47.82606035
37,3,62,89,30.54,15.46,4,66.72,101.43,6.983130466,56.12443206,23,45,23,52.07511359,40.078,0.397535783,neutral,81.88819133,24.608,6.484,13.66267038
71,34,38,86,30.95,17.28,3.57,68.57,101.43,6.267684328,52.55469976,25,48,21,34.41806005,66.574,1.136871112,acidic,84.48737903,57.9,22.841,-17.76640993
30,19,55,52,31.38,17.39,3.64,65.86,101.44,7.454532137,71.89090748,56,79,15,64.0298185,19.267,0.114142797,neutral,138.7818275,36.434,15.364,34.43272776
55,19,70,110,31.8,17.5,3.7,63.16,101.45,7.040056094,67.15096376,25,62,21,39.95980725,41.75,0.390092683,neutral,97.57196073,48.96,15.39,-18.14528913
6,21,49,25,31.78,17.3,3.57,62.76,101.45,7.418650668,70.23207557,42,61,22,89.38258489,-2.34,0.057099435,neutral,114.2069445,26.396,16.349,72.43037733
74,0,58,48,31.77,17.1,3.44,62.35,101.45,6.501869314,73.23573601,42,73,25,10.3208528,74.07,0.979056009,neutral,127.3513085,39.332,5.808,-7.970720803
8,6,57,5,31.76,16.91,3.31,61.94,101.45,6.814410928,72.49507741,44,58,18,79.50798452,9.873,0.681015161,neutral,110.4700876,12.266,8.771,79.75147678
21,36,49,105,31.74,16.71,3.18,61.54,101.45,7.581442888,62.26242533,50,55,16,83.59351493,23.183,-0.066766141,basic,111.89299,30.702,23.73,19.8212724
66,24,61,31,32.4,18,2.96,72.15,101.45,7.741418772,66.85510868,35,72,21,31.74097826,52.96,-0.262669598,basic,116.0810069,58.768,18.312,10.4434674
88,24,42,24,33.06,19.28,2.74,82.76,101.45,6.573531614,68.02199825,30,64,20,9.57360035,71.644,0.882903205,neutral,103.3014721,69.336,18.89,-8.406599475
66,36,50,35,32.97,18.8,2.66,87.54,101.44,7.543804223,73.67166182,27,64,21,36.46766764,61.7,-0.102784472,basic,101.019337,52.368,24.722,6.398501454
61,25,31,97,32.87,18.32,2.58,92.31,101.43,6.5408208,73.84949872,50,74,17,35.95610026,48.656,0.997466675,neutral,129.8785746,56.9,19.054,-19.65484962
81,31,43,74,32.99,18.46,2.55,100.7,101.43,7.22405917,69.28607828,39,73,24,19.87778434,71.328,0.253537556,neutral,123.7431586,64.848,22.119,-26.78582348
53,4,42,3,33.11,18.6,2.53,109.09,101.43,7.551364319,64.55882254,57,67,25,35.32923549,50.01,-0.048477513,basic,136.914045,31.804,8.681,38.13235324
57,36,27,17,33.34,21.9,2.51,106.72,101.44,6.928898659,67.53021213,52,63,19,46.74095757,51.28,0.586095288,neutral,123.8502291,47.128,26.007,26.24093636
12,9,29,41,33.57,25.2,2.5,104.35,101.44,7.747775263,66.63830637,55,66,22,78.42233873,4.46,-0.237180716,basic,131.4765573,14.96,13.83,59.50850809
84,38,48,100,34,23.73,2.54,98.33,101.43,6.706505915,70.86340755,51,56,18,20.06531849,75.929,0.800174642,neutral,115.5945541,58.286,27.73,-43.25902227
68,7,49,4,34.44,22.26,2.59,92.31,101.42,6.668238556,67.1367443,36,66,15,21.29565114,58.608,0.838273792,neutral,107.167767,41.62,11.627,21.85897671
1,8,63,17,34.4,23.68,2.24,100.7,101.4,7.332375138,68.97097538,59,55,19,88.53380492,-3.836,0.181668027,neutral,123.4673374,8.556,12.8,81.80870739
65,29,67,67,34.37,25.11,1.9,109.09,101.39,7.596802025,69.75555541,50,58,23,34.97888892,50.023,-0.113104845,basic,120.1822386,56.998,23.974,-7.426666623
48,5,45,73,34.41,23.62,1.92,102.54,101.39,7.70650895,71.50569456,30,65,25,39.62286109,40.586,-0.270838067,basic,108.0054437,28.812,11.372,6.048291632
67,8,26,4,34.45,22.12,1.93,96,101.39,7.366542647,61.91208707,20,62,18,24.03858259,56.346,0.056706843,neutral,89.94342015,41.62,12.269,24.42637388
71,28,43,28,34.67,20.83,1.91,85.5,101.38,6.919243702,74.01229707,58,71,15,27.62454059,57.629,0.642263567,neutral,133.8434706,61.862,21.759,4.796310879
51,25,34,77,34.9,19.54,1.89,75,101.38,7.187721818,74.91559514,25,71,24,45.94988097,38.112,0.242628369,neutral,107.9685947,51.104,19.749,0.025321458
30,35,51,103,34.7,20.18,1.82,85.5,101.36,7.075886472,71.78615328,52,71,16,72.59676934,26.694,0.468247015,neutral,128.6468795,34.42,25.026,8.964154016
2,22,46,37,34.49,20.82,1.75,96,101.35,6.74441168,63.02473185,40,63,18,95.87005363,-9.424,0.749752562,neutral,110.9210882,23.236,18.803,72.59258045
37,30,63,89,34.98,18.22,1.69,86.71,101.34,6.726469088,61.19250859,20,60,25,65.25449828,30.236,0.660651013,neutral,93.80852836,43.208,21.781,12.14224742
43,37,32,100,35.48,15.62,1.64,77.42,101.34,6.628264883,65.62859526,48,61,21,61.88228095,43.006,0.865490361,neutral,119.4397854,39.688,24.256,-0.688578578
50,29,56,78,35.34,17.87,1.58,80.09,101.34,7.127064207,63.49726331,49,68,22,51.32654734,41.271,0.374964348,neutral,127.7110551,50.69,21.174,3.950821007
17,3,46,87,35.21,20.12,1.52,82.76,101.33,7.538631462,65.81655892,48,62,15,70.88068822,16.336,-0.009602943,basic,115.422958,11.692,9.092,31.75503232
90,35,32,9,35.16,19.2,1.32,77.74,101.32,7.162357641,70.1415139,32,66,17,13.07569722,80.88,0.319860089,neutral,104.8863497,64.216,24.784,-3.54245417
23,8,60,97,35.12,18.28,1.12,72.73,101.32,6.859409487,74.61649888,21,63,22,65.74070022,18.624,0.550251984,neutral,95.20158664,19.74,10.976,18.11505034
22,9,69,27,34.67,18.45,1.44,80.81,101.32,7.397190844,65.820457,20,72,19,68.9039086,17.125,0.035605097,neutral,99.72196641,20.462,11.448,56.7538629
37,34,66,84,34.23,18.62,1.77,88.89,101.31,6.880245789,69.24464096,25,65,21,65.62007181,33.236,0.554628277,neutral,100.2161721,39.192,23.917,12.22660771
37,2,56,11,33.94,17.87,1.86,84.44,101.3,6.581313137,70.88787207,41,78,21,49.26442559,37.051,0.921262709,neutral,127.7069192,21.414,7.59,48.23363838
89,25,42,4,33.64,17.12,1.95,80,101.3,7.296972161,61.46892873,53,67,17,10.62121425,74.066,0.237204958,neutral,126.6921195,70.636,18.763,2.559321381
38,41,37,36,33.12,16.57,2.01,78.71,101.29,6.97297656,64.72797143,39,60,21,68.95140571,41.411,0.498361817,neutral,109.7810836,33.294,26.525,36.58160857
88,21,29,29,32.59,16.02,2.07,77.42,101.28,7.241148507,62.3061735,25,76,17,9.4177653,70.856,0.230491075,neutral,106.831196,66.452,16.287,-9.19185205
12,28,37,62,32.66,15.63,2.25,81.56,101.27,6.92009048,69.85112265,21,78,19,87.35477547,8.509,0.525588749,neutral,106.3440633,33.674,19.577,48.04466321
48,20,49,55,32.72,15.24,2.43,85.71,101.26,7.504608385,73.58663968,57,60,17,46.55367206,34.962,0.025809864,basic,124.2467741,45.896,15.367,14.4240081
87,0,44,64,33.04,16,2.04,87.3,101.25,7.152272256,66.37171179,56,75,15,-0.886342358,85.14,0.411206704,neutral,135.3934094,44.932,5.788,-26.91151354
80,11,22,20,33.36,16.75,1.66,88.89,101.24,7.137004749,74.86960831,49,72,15,10.02807834,69.135,0.409038873,neutral,125.7040967,51.978,11.702,-0.460882493
62,29,68,31,33.53,17.95,1.4,94.44,101.24,6.808041722,65.66436565,24,80,19,38.94712687,51.835,0.653522427,neutral,111.0656292,56.53,21.26,14.80069031
46,22,42,80,33.71,19.15,1.14,100,101.24,7.393631868,60.4693835,49,76,18,52.5641233,30.735,0.13958632,neutral,131.5244577,45.082,18.318,7.85918495
88,9,57,1,33.86,19.5,1.1,88.71,101.23,7.69950698,72.43169115,28,68,19,1.68366177,75.45,-0.238779656,basic,103.9103451,52.98,11.97,1.770492655
22,11,38,37,34,19.85,1.05,77.42,101.22,6.602888249,63.57445989,55,78,21,70.47010802,14.155,0.929063708,neutral,141.7220218,21.87,13.125,52.42766203
19,27,63,96,33.9,18.64,1.04,81.56,101.21,6.734447425,70.25496749,50,64,25,80.1370065,10.692,0.750755601,neutral,127.4141132,36.604,20.644,23.92350975
33,20,39,77,33.8,17.43,1.04,85.71,101.2,6.521217963,71.48327008,34,80,19,62.39134598,18.539,0.975176855,neutral,120.8648526,36.846,16.66,19.05501898
68,40,60,77,33.67,15.26,1.16,81.56,101.19,7.707332484,63.1830529,20,68,23,39.01538942,67.678,-0.299357908,basic,99.10486726,48.876,25.756,-13.45491587
49,44,50,43,33.54,13.1,1.27,77.42,101.18,6.596719015,70.27184748,55,67,16,58.5646305,55.4,0.947224693,neutral,127.8177033,35.896,26.859,20.41844576
6,38,25,70,33.68,14.14,1.48,73,101.17,7.403623355,60.41790253,23,70,15,100.4724195,11.382,0.063970571,neutral,97.71746365,20.356,24.212,52.87462924
10,23,63,18,33.82,15.17,1.68,68.57,101.16,7.517097,72.17818157,53,74,15,86.56036369,2.461,0.039533681,basic,131.2380321,29.31,17.064,71.34654553
8,1,26,66,33.63,15.76,1.68,75.66,101.16,7.17620823,67.83345933,26,67,16,78.42930813,13.048,0.292811814,neutral,98.97665424,6.192,6.3,50.6499622
20,44,24,29,33.44,16.36,1.69,82.76,101.16,6.593961761,70.0866434,33,80,22,87.47567132,27.438,0.884787413,neutral,122.3157732,21.08,28.037,56.47400698
39,31,20,49,33.38,14.92,1.66,78.88,101.16,7.143942758,69.40878198,37,79,19,62.1202436,35.116,0.359649921,neutral,123.1992401,43.844,20.97,27.67736541
28,41,55,6,33.31,13.47,1.63,75,101.15,6.690655045,62.30278274,33,75,21,79.55044345,34.201,0.786292279,neutral,117.0834585,28.61,25.399,62.30916518
58,17,61,33,33.3,13.26,1.38,59.32,101.15,7.423530351,61.16350463,22,55,20,37.85329907,46.698,-0.013266014,neutral,87.20352875,47.452,13.39,19.15094861
47,1,36,94,33.29,13.04,1.14,43.64,101.14,6.578714843,71.72980375,20,68,17,38.81203925,49.512,0.85948782,neutral,94.50510039,25.804,5.374,-3.518941125
90,17,31,53,33.02,13.31,1.32,51.82,101.13,7.497469256,69.43895491,43,68,20,4.216209018,75.403,0.001028299,neutral,119.8517715,63.394,13.428,-25.33168647
3,2,39,58,32.76,13.58,1.5,60,101.12,7.775306272,68.91754359,44,76,22,83.76649128,9.094,-0.27291822,basic,129.4572856,4.984,5.982,59.32473692
88,41,30,75,32.78,12.74,1.39,63.34,101.12,7.322555223,63.85668948,34,60,16,19.3116621,88.472,0.162256413,neutral,100.5742113,58.564,25.179,-32.65700684
85,6,53,36,32.79,11.9,1.28,66.67,101.11,7.580527339,61.71111448,21,72,17,5.273777104,80.65,-0.131729818,basic,98.99363086,50.144,7.376,-9.513334344
75,27,56,63,32.92,13.06,1.28,65.76,101.1,7.108450121,67.47677295,25,68,19,24.62064541,65.238,0.340944334,neutral,101.3240849,65.912,18.34,-14.74303188
38,3,30,56,33.04,14.22,1.29,64.86,101.1,7.358974541,65.24194361,41,62,15,50.06461128,39.136,0.154291084,neutral,108.5487178,23.188,6.801,26.42741692
49,3,43,37,33.02,13.7,1.3,61.7,101.1,7.405176138,74.24459122,28,65,23,37.26108176,49.41,0.031933618,neutral,104.6163767,28.8,6.59,22.22662263
68,35,69,39,33.01,13.17,1.31,58.54,101.1,6.500144962,69.5274407,35,64,15,35.20151186,65.291,1.000473132,neutral,104.2501015,54.414,22.375,3.64176779
69,21,55,4,33.07,14.06,1.04,61.7,101.1,7.167435834,71.36947525,52,58,16,26.91410495,54.098,0.356473967,neutral,116.8827949,56.52,15.812,19.58915743
51,43,50,69,33.13,14.94,0.76,64.86,101.09,7.261791753,68.64685069,58,75,25,56.54262986,54.602,0.254113777,neutral,145.3167458,37.12,27.248,5.905944793
48,18,23,93,33.08,14.24,0.7,66.72,101.08,7.586642101,73.44678678,34,66,19,46.10064264,35.532,-0.109484472,basic,108.1893505,42.712,14.486,-4.534036034
53,2,29,96,33.02,13.54,0.64,68.57,101.08,7.534811833,67.32520551,52,70,16,34.3429589,53.262,0.007903191,basic,127.4256317,29.304,6.224,-9.197561653
22,13,43,66,32.92,13.76,0.74,67.62,101.07,7.251000789,73.40452716,23,57,19,69.59709457,16.508,0.172409861,neutral,89.32429945,24.84,11.782,34.97864185
15,9,69,21,32.82,13.97,0.85,66.67,101.07,6.513620918,69.46020927,42,58,25,75.35295815,13.371,0.944302762,neutral,113.8595346,17.386,9.833,65.66193722
41,32,64,17,32.77,12.74,1.14,61.24,101.06,7.121254928,74.62068748,37,62,17,59.7338625,38.722,0.369228967,neutral,106.3151216,43.864,20.754,40.11379376
79,31,20,28,32.72,11.52,1.42,55.81,101.06,7.574561547,71.21006868,44,75,22,21.83198626,73.256,-0.073498018,basic,128.6978069,64.332,19.682,-2.363020604
33,24,58,49,32.63,11.7,1.28,66.62,101.06,7.350869792,64.32887142,21,80,20,65.75022572,25.99,0.092211888,neutral,108.7543911,42.184,16.296,35.20133857
50,31,68,78,32.54,11.87,1.14,77.42,101.06,7.513151076,63.29900785,56,76,16,52.49819843,46.631,0.045198555,basic,136.8407942,49.538,19.906,4.010297645
30,27,27,85,32.6,11.11,1,64.24,101.06,7.025607706,69.68862306,29,76,15,69.26227539,25.823,0.473390191,neutral,109.3820746,43.578,17.644,18.59341308
46,40,63,62,32.65,10.35,0.86,51.06,101.05,6.804253866,63.51822045,43,61,20,61.03835591,51.015,0.683380305,neutral,113.7629777,38.618,23.882,15.94453387
71,5,20,69,32.45,12.54,0.86,61.9,101.04,7.163043872,64.11411069,55,60,15,18.41917786,67.982,0.376318883,neutral,120.8858693,41.68,7.258,-12.73423321
78,45,29,4,32.25,14.72,0.86,72.73,101.04,7.338929556,63.46546487,44,63,15,31.54890703,80.756,0.18299786,neutral,112.4627493,48.744,28.13,12.96036054
73,19,49,81,32.22,13.81,0.84,67.94,101.04,6.621323612,63.02169909,29,67,21,23.64366018,57.673,0.831422989,neutral,105.8349265,56.41,14.772,-20.40650973
14,4,50,104,32.19,12.9,0.81,63.16,101.04,6.661870999,72.50669768,47,63,16,73.25566046,17.18,0.860198362,neutral,116.2633097,12.068,6.917,24.2479907
59,20,51,30,32.17,13.03,0.7,66.88,101.04,7.733149554,70.40795007,40,68,17,36.70840999,44.679,-0.225632172,basic,114.2867953,50.454,15.002,16.87761498
15,38,58,70,32.15,13.16,0.59,70.59,101.03,7.402891666,62.78730907,58,61,15,91.26553819,19.278,0.143435001,neutral,124.6179758,24.34,24.087,43.16380728
81,21,60,29,32.06,11.1,0.89,61.96,101.02,6.599147298,73.37686831,41,74,18,14.55762634,66.82,0.913579242,neutral,121.7194031,62.992,14.673,-5.513060493
54,42,63,42,31.97,9.05,1.19,53.33,101.02,7.04174124,62.31842057,58,79,17,54.17931589,61.055,0.517926512,neutral,142.6707811,41.142,24.263,18.30447383
60,34,33,54,31.84,10.41,1.06,56.66,101.02,7.353876754,62.2737345,27,62,24,44.2272531,58.973,0.070614988,neutral,101.7522863,51.766,20.846,6.31787965
42,1,29,54,31.72,11.77,0.93,60,101.01,7.026795359,64.42177127,27,60,17,45.33664575,45.691,0.428901449,neutral,94.58124325,23.39,4.929,23.67346862
49,10,35,98,31.64,11.86,1.04,57.9,101,6.814301033,68.83924882,52,65,20,41.92015024,44.838,0.698688838,neutral,126.3700107,35.96,9.432,-6.651774646
55,27,24,9,31.57,11.95,1.16,55.81,101,7.42160832,71.16331975,44,55,25,43.91933605,47.895,0.035656379,neutral,113.2048742,56.038,17.932,31.15100408
43,27,36,55,31.52,11.64,1.3,58.68,101,6.847382891,65.45328463,21,62,24,57.01934307,37.452,0.551977408,neutral,95.89316802,50.212,17.766,21.86401461
48,16,42,57,31.47,11.32,1.43,61.54,101,7.191522601,74.22238583,60,59,22,44.72652283,39.906,0.316561354,neutral,130.5659342,41.88,12.099,13.23328425
35,32,50,28,31.37,11.38,1.42,60.04,101,7.01285529,71.64631281,33,77,21,66.24473744,34.554,0.466723765,neutral,119.0910013,41.36,20.126,41.50610616
